app_name,platform,version,release_date,release_notes,is_current,source_url,data_quality_notes
UberEats,Android,6.321.10000,"May 5, 2026",,Yes,https://apkcombo.com/uber-eats/com.ubercab.eats/old-versions/,Version data from APKCombo. No release notes available.
UberEats,Android,6.320.10001,"Apr 28, 2026",,No,https://apkcombo.com/uber-eats/com.ubercab.eats/old-versions/,Version data from APKCombo. No release notes available.
UberEats,Android,6.319.10001,"Apr 21, 2026",,No,https://apkcombo.com/uber-eats/com.ubercab.eats/old-versions/,Version data from APKCombo. No release notes available.
